Semestre;Malla Renglon;Código del Espacio;Espacio Académico;Teórico;Teórico-práctico;Práctico;Número de Créditos;Horas Trabajo Directo;Horas Trabajo Colaborativo;Horas Trabajo Autónomo;Obligatorio;Básico;Complementario;Electivo;Intríseco;Extrínseco
1;2;1;Cálculo Diferencial;X;;;4;4;2;6;X;X;;;;
1;7;2;Programación Básica;;X;;3;2;4;3;X;X;;;;
1;1;3;Física I Mecánica Newtoniana;;X;;3;4;2;3;X;X;;;;
1;8;6;Seminario de Ingeniería;X;;;1;2;0;1;X;X;;;;
1;9;4;Cátedra Francisco José de Caldas;X;;;1;2;0;1;X;;X;;;
1;10;5;Producción y Comprensión de Textos;X;;;2;2;2;2;X;;X;;;
2;2;7;Cálculo Integral;X;;;3;4;2;3;X;X;;;;
2;3;9;Álgebra Lineal;X;;;3;4;2;3;X;X;;;;
2;7;10;Programación Orientada a Objetos;;X;;3;2;4;3;X;X;;;;
2;1;13;Física II Electromagnetismo;;X;;3;4;2;3;X;X;;;;
2;4;14;Análisis de Circuitos I y Laboratorio;;X;;3;4;2;3;X;X;;;;
2;9;8;Historia y Cultura Colombiana;X;;;2;2;2;2;X;;X;;;
3;10;;Electiva Extrínseca I;;;X;2;;;;;;;;;
3;2;16;Cálculo Multivariado;X;;;3;4;2;3;X;X;;;;
3;4;17;Análisis de Circuitos II y Laboratorio;;X;;3;4;2;3;X;X;;;;
3;1;20;Física III Ondas y Física Moderna;;X;;3;4;2;3;X;X;;;;
3;3;88;Ecuaciones Diferenciales;X;;;3;4;2;3;X;X;;;;
3;5;91;Electrónica I;;X;;3;4;2;3;X;X;;;;
3;9;12;Cátedra Democracia y Ciudadanía;X;;;1;2;0;1;X;;X;;;
4;2;23;Probabilidades y Estadística;X;;;2;2;2;2;X;X;;;;
4;3;24;Variable Compleja;X;;;2;2;2;2;X;X;;;;
4;5;25;Electrónica II;;X;;3;4;2;3;X;X;;;;
4;7;26;Programación Aplicada;;X;;3;4;2;3;X;X;;;;
4;1;27;Campos Electromagnéticos;X;;;2;3;1;2;X;X;;;;
4;6;28;Fundamentos de Circuitos Digitales;;X;;3;4;2;3;X;X;;;;
4;8;;Segunda Lengua I;X;;;2;;;;X;;X;;;
5;10;;Electiva Extrínseca II;;;X;2;;;;;;;;;
5;1;29;Ondas Electromagnéticas;X;;;2;3;1;2;X;X;;;;
5;3;30;Análisis de Fourier Wavelets;X;;;2;2;2;2;X;X;;;;
5;4;31;Transformadores;;X;;3;4;2;3;X;X;;;;
5;5;32;Electrónica III;;X;;3;4;2;3;X;X;;;;
5;6;33;Análisis y Diseño de Microprocesadores;;X;;3;4;2;3;X;X;;;;
6;10;;Electiva Extrínseca III;;;X;2;;;;;;;;;
6;2;35;Comunicaciones Analógicas;;X;;3;4;2;3;X;X;;;;
6;4;36;Motores y Generadores;;X;;3;4;2;3;X;X;;;;
6;6;37;Diseño Digital con Microcontroladores;;X;;3;4;2;3;X;X;;;;
6;7;38;Señales y Sistemas;X;;;2;3;1;2;X;X;;;;
6;8;;Segunda Lengua II;X;;;2;;;;X;;X;;;
6;9;40;Cátedra de Contexto;X;;;1;2;0;1;X;;X;;;
7;2;41;Comunicaciones Digitales;;X;;3;4;2;3;X;X;;;;
7;3;42;Física de Semiconductores;X;;;2;3;1;2;X;X;;;;
7;4;44;Sistemas Dinámicos;X;;;2;3;1;2;X;X;;;;
7;5;45;Electrónica de Potencia;;X;;3;4;2;3;X;X;;;;
7;10;47;Economía;X;;;2;2;2;2;X;X;;;;
7;8;;Segunda Lengua III;X;;;2;;;;X;;X;;;
7;9;43;Hombre Sociedad y Ecologia;X;;;1;2;0;1;X;;X;;;
8;1;48;Telecomunicaciones I;;X;;3;4;2;3;X;X;;;;
8;2;49;Telemática I;X;;;2;3;1;2;X;X;;;;
8;4;50;Control I;;X;;3;4;2;3;X;X;;;;
8;5;51;Instrumentación Industrial;;X;;3;4;2;3;X;X;;;;
8;7;52;Bioingeniería I;X;;;2;3;1;2;X;X;;;;
8;10;53;Ingeniería Económica;X;;;2;2;2;2;X;X;;;;
8;8;17601;Seminario Trabajo de Grado;;X;;1;2;0;1;X;X;;;;
9;11;57;Bioingeniería II;;X;;3;4;2;3;;;;X;X;
9;12;58;Control II;;X;;3;4;2;3;;;;X;X;
9;13;59;Nanotecnología I;;X;;3;4;2;3;;;;X;X;
9;14;60;Telemática II;;X;;3;4;2;3;;;;X;X;
9;15;61;DSP;;X;;3;4;2;3;;;;X;X;
9;16;62;Telecomunicaciones II;;X;;3;4;2;3;;;;X;X;
9;17;63;Conmutación;;X;;3;4;2;3;;;;X;X;
9;18;64;Inteligencia Computacional I;;X;;3;4;2;3;;;;X;X;
9;19;65;Sistemas Embebidos I;;X;;3;4;2;3;;;;X;X;
9;8;19;Trabajo de Grado I;X;;;3;0;0;9;X;X;;;;
9;1;54;Televisión;;X;;3;4;2;3;X;X;;;;
9;10;55;Formulación Gestión y Evaluación de Proyectos;X;;;2;2;2;2;X;X;;;;
10;11;68;Bioingeniería III;;X;;3;4;2;3;;;;X;X;
10;12;69;Control III;;X;;3;4;2;3;;;;X;X;
10;13;70;Nanotecnología II;;X;;3;4;2;3;;;;X;X;
10;14;71;Telemática III;;X;;3;4;2;3;;;;X;X;
10;15;72;Procesamiento Digital de Imágenes;;X;;3;4;2;3;;;;X;X;
10;16;73;Telecomunicaciones III;;X;;3;4;2;3;;;;X;X;
10;17;74;Televisión Digital;;X;;3;4;2;3;;;;X;X;
10;18;75;Inteligencia Computacional II;;X;;3;4;2;3;;;;X;X;
10;19;78;Robótica móvil;;X;;3;4;2;3;;;;X;X;
10;20;17611;Práctica Empresarial;;X;;3;4;2;3;;;;X;X;
10;5;67;Electrónica Industrial;;X;;3;4;2;3;X;X;;;;
10;8;17602;Trabajo de Grado II;X;;;3;0;0;9;X;X;;;;
10;9;18;Ética y Bioética;X;;;2;2;2;2;X;;X;;;
9;;;Electiva Intrínseca I Enfasis I-A;;X;;3;;;;;;;;;
9;;;Electiva Intrínseca II Enfasis II-A;;X;;3;;;;;;;;;
9;;;Electiva Intrínseca III Enfasis III-A;;X;;3;;;;;;;;;
10;;;Electiva Intrínseca IV Enfasis I-B;;X;;3;;;;;;;;;
10;;;Electiva Intrínseca V Enfasis II-B;;X;;3;;;;;;;;;
10;;;Electiva Intrínseca VI Enfasis III-B;;X;;3;;;;;;;;;
10;;;Electiva Extrínseca IV;;;X;1;;;;;;;X;X;